	sumsquare_error	aic	bic	kl_div
beta	0.00012742416336457822	1181.9308742736832	-30041.079750045952	inf
f	0.00013509745981583014	1162.7560653698624	-29934.362780069263	inf
norm	0.00013512085312724126	1159.9619805241175	-29949.065463183808	inf
powernorm	0.00013533510688943122	1162.0180685476591	-29938.66461687275	inf
loggamma	0.00013572833693625602	1165.1589380310224	-29933.369580930183	inf
