	sumsquare_error	aic	bic	kl_div
gamma	0.0001697382148869154	1212.1599626474774	-29508.107311420325	inf
norm	0.00016983939907163498	1209.8716655452045	-29514.529101387347	inf
gennorm	0.00017037322497703448	1214.4662975063325	-29501.29625119422	inf
logistic	0.00020116837331210553	1187.4035530031954	-29205.746044938784	inf
genlogistic	0.00020130792342186595	1189.7853131021539	-29196.972391178642	inf
