	sumsquare_error	aic	bic	kl_div
gennorm	2.320437852940637e-05	1417.0192261343025	-214475.83097699616	inf
lognorm	3.0168880971749106e-05	1457.7487403232524	-211654.27878722473	inf
gamma	3.0367097318592132e-05	1458.38764640235	-211583.87988052692	inf
beta	3.0794734581166664e-05	1460.1836669859288	-211424.26897246955	inf
invgamma	3.287292056844581e-05	1450.7340504487972	-210731.51734060489	inf
