VARIANCE

SC6:	7390.3803858105675
SC7:	7947.700380889753
SC8:	8888.250223322713
SC9:	9881.425301823705
SC10:	10708.044039950182
SC11:	11541.807916148946
SC12:	12499.388096863207
SC13:	13691.194847280094
SC14:	15005.254375961185
SC15:	16299.532012066804
SC16:	17311.487656150606
SC17:	18179.167359615556
SC18:	18794.53614094282
SC19:	18926.257153066177
SC20:	18272.814924041715
SC21:	16522.447971967256
SC22:	13718.172451155382
SC23:	10713.061522344879
SC24:	8178.198454184888
SC25:	6791.594799781996
SC26:	6465.544516222799
SC27:	7059.562327223087
SC28:	8277.681244497975
SC29:	8804.762708309263
SC30:	7181.531135147897
SC31:	2905.5226453680557
SC34:	10867.014155530434
SC35:	15732.319028715527
SC36:	17532.765622428815
SC37:	18230.673635902527
SC38:	18925.476806433835
SC39:	19516.77180418344
SC40:	19410.968513268523
SC41:	18597.69149803125
SC42:	17670.374208226294
SC43:	17115.26933800225
SC44:	16780.009438936155
SC45:	16421.984109238376
SC46:	15690.451588153426
SC47:	14850.804793071698
SC48:	14105.973442656385
SC49:	13203.842555534775
SC50:	11578.324985136023
SC51:	8831.869586044724
SC52:	6250.084545086333
SC53:	5069.781847866156
SC54:	4663.5234519895075
SC55:	4527.332453411912
SC56:	4326.867353545307
SC57:	4190.3320902803725
SC58:	4294.059656765324
