	sumsquare_error	aic	bic	kl_div
gennorm	1.360611608283049e-05	1377.9809788010693	-189608.47734513288	inf
gamma	2.479428746312805e-05	1430.566121644773	-184015.0023009853	inf
f	2.5102673375488945e-05	1433.7137266928316	-183890.6447699003	inf
beta	2.5217454707389925e-05	1431.8883101379388	-183848.12187932112	inf
powernorm	2.672646834152302e-05	1429.1510947695594	-183315.54406235626	inf
