SC6,(8.725963421615265e-16, 24.2990773230286)
SC7,(7.907904350838834e-16, 26.277927060030652)
SC8,(-3.233281089259228e-16, 23.273139051939474)
SC9,(7.089845280062404e-16, 17.651185749990844)
SC10,(3.8176089969566787e-16, 16.32178300050694)
SC11,(-4.791488843119097e-16, 18.794184450903213)
SC12,(-8.414321870843291e-16, 20.567946592936835)
SC13,(-1.519252560013372e-15, 22.087278982635855)
SC14,(-9.349246523159212e-16, 21.567503227863508)
SC15,(8.764918615461762e-16, 19.866161186707977)
SC16,(9.73879846162418e-17, 17.343433717312497)
SC17,(-5.181040781584064e-16, 15.883151082465636)
SC18,(-1.4413421723203787e-16, 16.027707653171813)
SC19,(-7.674173187759854e-16, 16.992228688775082)
SC20,(2.3762668246363e-16, 16.724572663950706)
SC21,(-1.7529837230923525e-16, 16.486899079210968)
SC22,(7.089845280062404e-16, 16.28029707366671)
SC23,(5.025220006198077e-16, 16.72008057869115)
SC24,(3.661788221570692e-16, 16.62848245317635)
SC25,(-1.675073335399359e-16, 16.49130163350585)
SC26,(-1.0206260787782141e-15, 16.442785220263374)
SC27,(-6.115965433899985e-16, 17.227737974130562)
SC28,(-9.232380941619723e-16, 17.90026600796415)
SC29,(-4.3045489200378877e-16, 18.419577659605824)
SC30,(-9.271336135466219e-16, 17.697054846113243)
SC31,(-6.3496965969789655e-16, 17.656383189328352)
SC32,(1.791938916938849e-16, 17.989176925567286)
SC33,(6.232831015439475e-16, 18.450232085401773)
SC34,(-4.1682057415751493e-16, 18.419499081852077)
SC35,(-2.337311630789803e-16, 18.208396467480238)
SC36,(6.115965433899985e-16, 18.295711892016357)
SC37,(3.739698609263685e-16, 18.73501562535644)
SC38,(4.596712873886614e-16, 18.611968748837636)
SC39,(2.902161941564006e-16, 17.97868127757057)
SC40,(-8.959694584694245e-17, 17.293850897258913)
SC41,(4.3045489200378877e-16, 17.070936916014347)
SC42,(-6.038055046206992e-16, 17.392404489060375)
SC43,(1.2660438000111434e-16, 17.208909804228885)
SC44,(2.3567892277130515e-16, 16.566269587644435)
SC45,(-1.1686558153949016e-17, 16.176870342959162)
SC46,(-1.0634767920093605e-15, 16.399885303147247)
SC47,(8.180590707764311e-17, 16.925879975266643)
SC48,(5.726413495435018e-16, 17.663908536706963)
SC49,(-6.505517372364952e-16, 18.901877726415524)
SC50,(-2.1425356615573196e-16, 18.717177283279007)
SC51,(-1.223193086779997e-15, 18.94889768518049)
SC52,(2.49313240617579e-16, 17.92116976174506)
SC53,(1.5582077538598687e-17, 16.725671835760092)
SC54,(-2.8437291507942606e-16, 14.65658872277678)
SC55,(-5.765368689281515e-16, 13.439192067816132)
SC56,(-3.311191476952221e-16, 12.857184991239139)
SC57,(4.674623261579606e-17, 12.385648384295372)
SC58,(4.2850713231146393e-16, 12.100957710873187)
SC59,(-5.999099852360495e-16, 12.745042766552828)
SC60,(-1.7140285292458556e-16, 14.131925905193272)
SC61,(-6.77820372929043e-16, 14.695877492999877)
SC62,(3.622833027724195e-16, 15.34047118669209)
SC63,(2.9995499261802475e-16, 15.796316406519306)
SC64,(-2.49313240617579e-16, 16.302197771923275)
SC65,(4.3629817108076325e-16, 16.109332518018466)
SC66,(-1.5582077538598687e-16, 15.254168892228234)
SC67,(4.3629817108076325e-16, 14.480441177400396)
SC68,(-3.428057058491711e-16, 14.470705938579803)
SC69,(3.194325895412731e-16, 15.103867562060545)
SC70,(4.2071609354216456e-16, 15.462982571610132)
SC71,(2.9605947323337506e-16, 14.933798859439664)
SC72,(-4.2071609354216456e-16, 14.199007778863749)
SC73,(-3.194325895412731e-16, 13.438443030525887)
SC74,(-3.739698609263685e-16, 14.290628104724593)
SC75,(2.337311630789803e-16, 15.354208134086281)
SC76,(-5.064175200044574e-16, 17.92571842781462)
SC77,(2.8826843446407574e-16, 18.55685993027899)
SC78,(4.674623261579606e-16, 18.486792814800854)
SC79,(-2.5710427938687837e-16, 16.008196964747267)
SC80,(-1.3244765907808884e-16, 13.664563857788405)
SC81,(2.9605947323337506e-16, 12.787688261276978)
SC82,(-4.2850713231146393e-16, 14.070929926546448)
SC83,(3.661788221570692e-16, 15.703336034224899)
SC84,(2.0256700800178294e-16, 15.964118784765033)
SC85,(-1.246566203087895e-16, 15.070075602406405)
SC86,(-4.674623261579606e-17, 13.866996937251782)
SC87,(5.765368689281515e-16, 13.550081405719713)
SC88,(4.674623261579606e-16, 16.17360665327598)
SC89,(-1.947759692324836e-16, 19.317514895679167)
SC90,(8.803873809308259e-16, 20.842667589336816)
SC91,(-4.2850713231146393e-16, 20.851238981718556)
SC92,(-1.7140285292458556e-16, 17.9160873749374)
SC93,(5.531637526202535e-16, 14.451428482323864)
