	sumsquare_error	aic	bic	kl_div
cauchy	0.0002533775873362413	1271.5737742642143	-27477.08382138398	inf
norm	0.0004776878801362873	1196.729688824195	-26369.98584630391	inf
gamma	0.0005133889237781403	1196.875863188508	-26236.6758141123	inf
rayleigh	0.0007213547626240008	1173.7312835669145	-25650.330897915763	inf
powerlaw	0.0007431261425454957	1146.780837744227	-25590.948948339643	inf
