	sumsquare_error	aic	bic	kl_div
norm	0.0001097270389696083	1208.1963048936134	-29941.349285243294	0.059332342804464505
gamma	0.00011226619465106569	1210.4006866658644	-29892.604898709622	0.061990872320744336
chi2	0.00011834574729967306	1213.9505252560264	-29797.518982856367	0.06645231103412791
rayleigh	0.00016844539871264526	inf	-29168.55493278148	0.1094612937691989
cauchy	0.000256597440874044	1247.0556652561509	-28409.677957504646	0.08949297350048128
