	sumsquare_error	aic	bic	kl_div
loggamma	0.00019176327193270727	1216.4042012671364	-27037.71193417462	inf
powernorm	0.00020334824504021583	1212.4131604097427	-26938.462006907623	inf
cauchy	0.00020766258404015655	1268.914354778622	-26910.372863825385	inf
beta	0.0002247786757826201	1207.6976321486356	-26761.49628058197	inf
powerlognorm	0.00027026310077362233	1206.7391814926814	-26449.695067198518	inf
