	sumsquare_error	aic	bic	kl_div
gennorm	0.00042679367464254763	1175.3627515194462	-27826.3002206717	inf
beta	0.00048608785496887316	1151.7231769243745	-27581.509680795196	inf
powerlaw	0.0005285773347327229	1142.6380345390983	-27436.16773449202	inf
wrapcauchy	0.0005663668328218419	1141.5534331458196	-27310.2153188358	inf
powernorm	0.0005870378992858066	1179.5248660147856	-27244.82966247417	inf
