	sumsquare_error	aic	bic	kl_div
loggamma	0.00029803726799616516	1177.123627596433	-28497.891789153655	inf
beta	0.0003103134138933361	1164.302330031885	-28416.71767896145	inf
norm	0.00031435235369253273	1175.924594273013	-28408.135991551604	inf
lognorm	0.0003158720813865938	1178.5753056946453	-28391.82500321354	inf
powernorm	0.00031733123549587054	1177.344900086356	-28383.41392610099	inf
