	sumsquare_error	aic	bic	kl_div
gennorm	0.0002929125641171863	1196.912890799891	-28529.54530195479	inf
beta	0.00030200339402399357	1168.3403421972494	-28466.256470862794	inf
dgamma	0.0003073462882162416	1186.212164719267	-28441.761090017815	inf
loggamma	0.00041919727938950297	1171.6030019730715	-27875.342124528866	inf
norm	0.0004375404776521421	1174.5402602551976	-27804.69112832818	inf
