	sumsquare_error	aic	bic	kl_div
chi2	0.0001674510453083814	1162.8028902661881	-29550.05447180756	inf
gamma	0.00016745107775714715	1162.8030765543983	-29550.05411815798	inf
invgauss	0.00016888690832884658	1162.9121622164014	-29534.472133247993	inf
invgamma	0.00017333709252305817	1163.9884596069865	-29487.00588916001	inf
beta	0.0001745765851458111	1167.629747942905	-29466.492847789872	inf
