	sumsquare_error	aic	bic	kl_div
dgamma	3.366229795708196e-05	1314.6982547038278	-162957.31233322987	0.016730491587540045
gennorm	3.8985028140047015e-05	1314.7967470157132	-161720.0884861979	0.01909094874552534
cauchy	0.0001227450145647376	1307.3586323396407	-152062.78934882666	0.028274659163983844
powernorm	0.00014221398288176732	1342.3838192797925	-150812.948743289	0.06213017457316693
lognorm	0.00014260406907649561	1343.483536773415	-150789.8627873096	0.06214508630025631
