	sumsquare_error	aic	bic	kl_div
gennorm	1.3115071702170996e-05	1213.013544805608	-208656.77481521494	0.006992578499135974
beta	1.3248424913762007e-05	1210.318227237462	-208544.41673766717	0.006677983561033197
powernorm	2.4794536976283388e-05	1214.1744258270423	-202164.61107777915	0.009614398076508325
chi	2.540860280745592e-05	1214.2584549848877	-201915.22032975315	0.009813580258773413
gamma	2.5575886444125024e-05	1214.151444945898	-201848.3256511299	0.010042071639819287
