	sumsquare_error	aic	bic	kl_div
lognorm	0.00014938575640881195	1148.3809886985075	-29758.39485158464	inf
gamma	0.0001495561998267985	1148.0473403506817	-29756.313783570982	inf
chi2	0.00014955622846926045	1148.047362069034	-29756.31343405362	inf
norm	0.00017768671937141525	1151.8245987296684	-29449.284815286996	inf
rayleigh	0.00018441723838857373	inf	-29381.43351571249	inf
