	sumsquare_error	aic	bic	kl_div
norm	0.0002817516925056028	1172.1263618176615	-28607.952216196147	inf
gamma	0.00030028594263996984	1174.0390646391252	-28484.173950787863	inf
chi2	0.00032040743651572763	1176.159970686096	-28365.807622298453	inf
cauchy	0.0004855109113300671	1215.226132655517	-27614.831742770843	inf
rayleigh	0.0004904917485199717	inf	-27596.204525531786	0.14240132032017336
