SC6,(-0.03442835329786006, 24.268314462956056)
SC7,(0.02871892952227372, 20.984535052261304)
SC8,(0.039832037354981115, 21.640291911896824)
SC9,(0.03719463601841497, 22.41267818228977)
SC10,(0.030357306644060663, 23.07757613587393)
SC11,(0.03256316136619146, 24.38235380700946)
SC12,(0.005915233391879176, 25.640058058896326)
SC13,(0.013377005087590444, 26.462062323116523)
SC14,(0.031328522901335504, 27.44387032207266)
SC15,(0.03540406507494753, 28.204321856134207)
SC16,(0.03673024767569575, 28.842775108892205)
SC17,(0.019409258016006195, 28.34195664801985)
SC18,(0.006527289255764232, 28.541199344806365)
SC19,(0.009833127442705215, 28.33968444996243)
SC20,(0.027207060845894745, 28.549822847935204)
SC21,(0.03338131055823794, 27.756244754706277)
SC22,(0.012238176961940368, 27.43455641894099)
SC23,(0.0027083781004745592, 27.07046828568161)
SC24,(0.033272325377715434, 26.78252618066705)
SC25,(0.03596723603503721, 26.316429469157466)
SC26,(0.04744156309425287, 25.815410609894215)
SC27,(0.06776561559067625, 24.723246954896236)
SC28,(0.06555050678218197, 24.792026843475348)
SC29,(0.06377397697970008, 24.625974088286636)
SC30,(0.04816521086094809, 29.393322038065502)
SC31,(-5.945587392731108e-16, 22.588719221359096)
SC34,(0.030846618100750577, 29.425843988125084)
SC35,(0.03758279263628941, 26.86861466369449)
SC36,(0.06927831639916311, 27.91278567714313)
SC37,(0.0693614670409101, 28.988667411494518)
SC38,(0.09671411038407784, 31.202472791572365)
SC39,(0.08491011565390806, 32.86252797381677)
SC40,(0.11105522873513775, 33.24930677730271)
SC41,(0.09557026154780957, 34.40072282882456)
SC42,(0.10692703805368137, 34.74374070662219)
SC43,(0.02565327816958222, 34.937013601898215)
SC44,(0.06205695342100655, 34.381796736038055)
SC45,(0.06728547616507197, 34.308071596383)
SC46,(0.09942802727888665, 34.17465751045562)
SC47,(0.08694983696464074, 32.85536713587293)
SC48,(0.0771448655026144, 31.715202250996935)
SC49,(0.08815263396983321, 30.143735647068624)
SC50,(0.07522002072191479, 28.539605765477035)
SC51,(0.05932538812927297, 27.749320813064923)
SC52,(0.04042888755199284, 27.09389354763348)
SC53,(0.04935894777490131, 26.41053762312017)
SC54,(0.05924468689897289, 25.532342356804122)
SC55,(0.06486656559495578, 24.860049982965712)
SC56,(0.06415093661838787, 24.149962191584837)
SC57,(0.04269020151515891, 23.836712685172536)
SC58,(0.034015520147060614, 27.049315960221033)
