	sumsquare_error	aic	bic	kl_div
chi	0.0004557156864845288	1259.8992588514338	-27706.70341964279	inf
chi2	0.0004572460824404861	1286.844934454995	-27700.588278936328	inf
beta	0.00045741863339261263	1253.6312715378895	-27692.39129873722	inf
powerlognorm	0.0004581056566228251	1249.755866644018	-27689.65378402397	inf
lognorm	0.000460877288191788	1244.553536472598	-27686.160253167396	inf
