	sumsquare_error	aic	bic	kl_div
gennorm	0.00039606674468132457	1108.477875158164	-27962.58576998169	inf
powerlognorm	0.00042608595869145205	1113.1249372352386	-27821.818529331773	inf
lognorm	0.0004281578257648876	1112.7151405400043	-27820.479507432294	inf
f	0.00042878643174111504	1113.4813383254273	-27810.29475272644	inf
gamma	0.00042884457383033996	1111.3778538643112	-27817.55622801068	inf
