	sumsquare_error	aic	bic	kl_div
gennorm	0.0003959648174956897	1108.4624765074154	-27963.055234069998	inf
powerlognorm	0.0004253281384196355	1113.0706573574384	-27825.06551466008	inf
lognorm	0.00042559239095047097	1114.5493434991722	-27831.441418993592	inf
f	0.0004279941221450733	1114.0707785853829	-27813.668249261995	inf
gamma	0.00042884653498324003	1111.3761818856296	-27817.547886679276	inf
