	sumsquare_error	aic	bic	kl_div
powernorm	0.0002583554741427346	1478.6794609328078	-28741.883022742	inf
powerlognorm	0.00025967362205556	1482.6169597212024	-28725.091718432053	inf
beta	0.0002606711931840161	1489.231112834228	-28718.098002287537	inf
loggamma	0.00026108354573392496	1487.3900414415232	-28722.72370608	inf
norm	0.000267159453218626	1496.9230084645874	-28688.27095644475	inf
