	sumsquare_error	aic	bic	kl_div
invgamma	0.00021233955990588636	1639.9832296983438	-29099.660171083146	inf
lognorm	0.00022923411848348857	2067.328980849675	-28960.01994448815	inf
chi2	0.0002323289831074948	1679.7049152733164	-28935.559073780612	inf
beta	0.00025759432757783507	1598.0667705218773	-28739.755892224384	inf
gamma	0.00025829566058038945	1593.4935287192684	-28742.3053577796	inf
