	sumsquare_error	aic	bic	kl_div
invgamma	0.0004265745736746513	2194.5079097005173	-27827.236839007364	inf
gamma	0.0004462574495489065	1999.156741338385	-27744.958342894188	inf
f	0.0004550470747761793	1970.1847870620513	-27701.87271292733	inf
rayleigh	0.0004648068919437362	inf	-27678.182894084504	inf
beta	0.0004681546054998845	1934.9873485462847	-27650.075271010097	inf
