	sumsquare_error	aic	bic	kl_div
gennorm	1.963976857835789e-05	1476.2681965660931	-217198.1487722669	inf
logistic	2.2564891101544685e-05	1414.615894237165	-215708.81072401398	inf
genlogistic	2.256711691446313e-05	1416.596093931117	-215698.4593048909	inf
norm	3.078783520990889e-05	1561.637415990977	-212354.85107583378	inf
gamma	3.173558229804652e-05	1568.9257708523085	-212018.30244616326	inf
