	sumsquare_error	aic	bic	kl_div
gennorm	2.7218966394245548e-05	1414.2740271214611	-213613.0520924651	inf
norm	2.8231639971129833e-05	1393.3915452360663	-213228.15078062995	inf
gamma	3.59309766971226e-05	1378.5516271668648	-210616.54505763802	inf
genlogistic	6.975186190785229e-05	1300.8204047186196	-203458.39638962422	inf
logistic	7.040544732684001e-05	1295.9484656363604	-203367.04035189704	inf
