	sumsquare_error	aic	bic	kl_div
gennorm	9.590766669516477e-05	1515.2905385878073	-149564.51179669265	inf
powernorm	9.67432755114682e-05	1719.6436309905464	-149493.4556714677	inf
lognorm	9.896938363803759e-05	1729.6211440698403	-149307.11271178073	inf
norm	9.99244470634429e-05	1723.0731179673157	-149237.45857294402	inf
beta	9.992706547211127e-05	1727.061054305149	-149219.2223571992	inf
