VARIANCE

SC6:	898.2639084332836
SC7:	1003.6020938040081
SC8:	1012.1136115631025
SC9:	1005.770177164692
SC10:	1087.6477616631219
SC11:	1220.5023050816483
SC12:	1307.8290024832163
SC13:	1378.0621051384976
SC14:	1415.3658332632842
SC15:	1426.7540524183812
SC16:	1414.0204348551795
SC17:	1414.1742672098915
SC18:	1437.423924544523
SC19:	1516.2989158539933
SC20:	1610.8843624930535
SC21:	1734.546002856861
SC22:	1865.8358165379148
SC23:	1981.898698452712
SC24:	2039.078729698541
SC25:	2049.3700383041696
SC26:	2035.5848133798327
SC27:	2076.3237908002875
SC28:	2168.557494253483
SC29:	2328.6055975009276
SC30:	2549.6212173564386
SC31:	2868.5086522055226
SC32:	3223.9442968790418
SC33:	3609.211251963429
SC34:	4011.4487488211025
SC35:	4463.088709660321
SC36:	4991.71773985322
SC37:	5562.2210703417995
SC38:	6081.592242224863
SC39:	6479.656490106403
SC40:	6614.7761629329325
SC41:	6414.344757747041
SC42:	5863.500768381109
SC43:	5070.807958113667
SC44:	4196.582687111531
SC45:	3427.4968637897896
SC46:	2841.6566804671534
SC47:	2470.2136607528955
SC48:	2212.313021024707
SC49:	2033.2025662672909
SC50:	1857.0493980389774
SC51:	1705.665887609362
SC52:	1538.3858380090167
SC53:	1418.222247387517
SC54:	1382.4215109187937
SC55:	1599.7046801567885
SC56:	2067.9124872488987
SC57:	2725.1361056233723
SC58:	3321.253285874559
SC59:	3741.7102631626885
SC60:	3907.3268668991527
SC61:	3953.8117966639734
SC62:	3928.456836168062
SC63:	3944.287015371561
SC64:	3978.292361241715
SC65:	3994.6362822935207
SC66:	4002.195008624606
SC67:	4066.3520046598624
SC68:	4168.986850952405
SC69:	4357.45362492261
SC70:	4578.5960865234665
SC71:	4847.251478231367
SC72:	5037.999897087412
SC73:	5136.61444219804
SC74:	5096.567262951256
SC75:	4987.072680598512
SC76:	4815.307232415173
SC77:	4639.30237516573
SC78:	4501.798912144381
SC79:	4422.558784726006
SC80:	4366.276721058057
SC81:	4367.016125296021
SC82:	4407.303533395247
SC83:	4533.956541720975
SC84:	4683.316284390275
SC85:	4870.248330994353
SC86:	5066.978605001098
SC87:	5268.222316934975
SC88:	5510.000627641627
SC89:	5734.68688286834
SC90:	5934.105900637398
SC91:	6126.497566973979
SC92:	6233.025211840623
SC93:	6285.194162795318
SC94:	6246.871345991874
SC95:	6165.5856136721695
SC96:	5986.882953005275
SC97:	5514.797496330567
SC98:	2821.5915388086796
SC99:	1786.0455042198284
SC100:	2463.9578461541605
SC101:	2933.7494663254192
SC102:	2988.349685195694
SC103:	2913.239263266669
SC104:	2748.419808960342
SC105:	2608.6935028914427
SC106:	2509.576923325858
SC107:	2507.4419261862613
SC108:	2582.4852290747317
SC109:	2750.6812663455707
SC110:	2972.1887927233356
SC111:	3264.740948393067
SC112:	3488.9867393065847
SC113:	3639.5957915530375
SC114:	3698.3743989640807
SC115:	3733.5715913016384
SC116:	3734.0678478635823
SC117:	3722.435518694469
SC118:	3686.426610448218
SC119:	3731.474959920231
SC120:	3785.9853805865196
SC121:	3894.6454332879716
SC122:	3962.7671628149596
SC123:	4078.2791099008164
SC124:	4131.294285137639
SC125:	4136.3063348625865
SC126:	4109.0055537027765
SC130:	3865.3133817781963
SC131:	4041.5848724109233
SC132:	4515.265303347969
SC133:	5157.092352008446
SC134:	3208.377674982626
SC135:	2337.3237266458877
SC136:	2448.433501988083
SC137:	2738.6358445209316
SC138:	2968.6658075473933
SC139:	3104.5319185714425
SC140:	3113.2894346752764
SC141:	3048.4192292914536
SC142:	2945.341180209906
SC143:	2896.2036149476507
SC144:	2909.7362077252733
SC145:	3007.6275259014014
SC146:	3149.8490943942884
SC147:	3338.701839746302
SC148:	3487.004046942232
SC149:	3528.7672364193227
SC150:	3437.958043295009
SC151:	3214.063917123311
SC152:	2876.766394618087
SC153:	2494.702143589181
SC154:	2160.2617253710755
SC155:	1959.7399502544683
SC156:	1900.0138948794906
SC157:	1951.3351931242862
SC158:	2069.371179700757
SC159:	2214.6579731884317
SC160:	2341.6636444086953
SC161:	2450.5582899022183
SC162:	2494.01766737955
SC163:	2520.733731735767
SC164:	2526.589490166991
SC165:	2569.1220634524925
SC166:	2625.622881321647
SC167:	2727.3945505754596
SC168:	2813.3970597327066
SC169:	2886.470523096134
SC170:	2919.755447440845
SC171:	2941.734141284682
SC172:	2921.557552710466
SC173:	2902.7120749741603
SC174:	2868.8729272218516
SC175:	2935.649715767273
SC176:	3042.4376107205862
SC177:	3238.469172972927
SC178:	3483.6180998118393
SC179:	3768.2881900720618
SC180:	3997.5791985234478
SC181:	4071.5557931124104
SC182:	3844.066682565092
SC183:	3381.3663166991887
SC184:	2790.2783564157066
SC185:	2278.1542126253084
SC186:	1875.2497915307167
SC187:	1634.880547601264
SC188:	1468.4394551906753
SC189:	1397.0376477998914
SC190:	1373.477083260948
SC191:	1417.9181135427682
SC192:	1476.3631655423192
SC193:	1524.1344129826205
SC194:	1529.5187218231274
SC195:	1489.9004865779323
SC196:	1401.0436540252429
SC197:	1322.104226949367
SC198:	1259.9144942068779
SC199:	1252.846695654324
SC200:	1267.217515926003
SC201:	1337.158398772512
SC202:	1479.6631767095125
SC203:	1724.120313476643
SC204:	1996.2310756928616
SC205:	2312.498896634496
SC206:	2607.4387630694096
SC207:	2906.129333079056
SC208:	3201.6336485835077
SC209:	3539.8912666527644
SC210:	3880.615015640105
SC211:	4261.668275542563
SC212:	4550.099439894734
SC213:	4578.67602985522
SC214:	3884.6086560113667
