	sumsquare_error	aic	bic	kl_div
beta	0.00022423395673934485	1224.6092299960978	-28992.737427577555	inf
powerlognorm	0.00022424923637297218	1222.9499827702045	-28992.613141752914	inf
loggamma	0.00022455563242900997	1221.503093832897	-28997.631463548125	inf
norm	0.00023062788435000112	1222.507532748192	-28956.47221161943	inf
gennorm	0.0002314623413742705	1221.898860196758	-28942.375744458954	inf
