	sumsquare_error	aic	bic	kl_div
loggamma	0.00016816817133397701	2023.7648785170998	-29525.057450074582	inf
beta	0.0001697876550170777	2037.603582071296	-29500.067319967206	inf
norm	0.00018241014555343515	2083.395850406912	-29384.287440293858	inf
powernorm	0.00018653536289369327	2082.4572615821876	-29335.988293359354	inf
gennorm	0.00021827733343141912	1745.946184859624	-29049.354734486085	inf
